City,State,ZIP,Name,Datetime,Weather Main,Temperature,Wind Speed,Sunrise
,,10196,New York,2023-12-31 12:34:08,Clouds,42.22,6.69,07:19:47
West Harwich,Massachusetts,02671,Dennis Port,2023-12-31 12:35:05,Clouds,38.21,3.6,07:07:15
Snydertown,Pennsylvania,17877,Riverside,2023-12-31 12:35:06,Clouds,40.35,3.25,07:30:59
Irving,Texas,75039,Oldham,2023-12-31 11:35:07,Clouds,58.5,3.6,07:30:04
Riverside,Washington,98849,Cherokee,2023-12-31 09:35:07,Clouds,38.91,0.0,07:50:10
Lookout Mountain,Georgia,30750,Chattanooga Valley,2023-12-31 12:35:08,Clear,47.39,4.12,07:49:01
Omaha,Nebraska,68135,Chalco,2023-12-31 11:35:09,Clouds,27.34,4.63,07:50:02
Glencoe,Ohio,43928,Saint Clairsville,2023-12-31 12:35:09,Clouds,38.39,4.6,07:45:15
Pasadena,California,91125,Pasadena,2023-12-31 09:35:10,Clear,52.61,1.54,06:58:05
Averill,Vermont,05901,Coaticook,2023-12-31 12:35:11,Clouds,19.15,3.48,07:24:59
